Position in alignment,KF797818.1 - KY007253.1,KF797818.1 - KY007246.1,KY007253.1 - KY007246.1
6160,0,98,0
6180,0,89,0
6200,0,71,0
6220,0,69,0
6240,0,64,0
6260,0,60,0
6280,0,55,0
6300,0,88,0
6320,0,87,0
6340,0,86,0
6360,0,92,0
6380,0,90,0
6400,0,60,0
6420,0,59,0
6440,0,69,0
6460,0,58,0
6480,0,69,0
6500,0,0,0
6520,0,63,0
6540,0,61,0
6560,0,88,0
6580,0,92,0
6600,0,85,0
6620,0,86,0
6640,0,87,0
6660,0,98,0
6680,0,93,0
6700,0,92,0
6720,0,100,0
6740,0,94,0
6760,0,90,0
6780,0,89,0
6800,0,81,0
6820,0,85,0
6840,0,83,0
6860,0,69,0
6880,0,92,0
6900,0,94,0
6920,0,58,0
6940,0,97,0
6960,0,98,0
6980,0,94,0
7000,0,98,0
7020,0,99,0
7040,0,100,0
7060,0,100,0
7080,0,96,0
7100,0,99,0
7120,0,98,0
7140,0,88,0
7160,0,94,0
7180,0,94,0
7200,0,94,0
7220,0,87,0
7240,0,87,0
7260,0,60,0
7280,0,87,0
7300,0,86,0
7320,0,82,0
7340,0,91,0
7360,0,63,0
7380,0,69,0
7400,0,59,0
7420,0,58,0
7440,0,57,0
7460,0,61,0
7480,0,0,0
7500,0,0,0
7520,0,0,0
7540,0,0,0
7560,0,0,0
7580,0,0,0
7600,0,0,0
7620,0,0,0
7640,0,0,0
7660,0,65,0
7680,0,70,0
7700,0,58,0
7720,0,67,0
7740,0,57,0
7760,0,57,0
7780,0,63,0
7800,0,87,0
7820,0,88,0
7840,13,69,0
7860,21,54,0
7880,43,39,0
7900,43,29,5
7920,25,43,6
7940,30,33,9
7960,33,36,8
7980,33,38,9
8000,47,13,14
8020,53,10,15
8040,14,24,26
8060,32,0,39
8080,0,0,71
8100,0,0,0
8120,0,0,0
8140,0,85,0
8160,0,94,0
8180,0,83,0
8200,7,81,0
8220,8,69,0
8240,9,77,0
8260,9,74,0
8280,10,77,0
8300,4,83,0
8320,6,77,0
8340,17,22,18
8360,14,19,27
8380,21,22,15
8400,0,0,72
8420,0,0,63
8440,0,0,69
8460,0,0,59
8480,0,0,58
8500,0,0,57
8520,0,0,61
8540,0,0,0
8560,0,0,0
8580,0,0,0
8600,0,0,0
8620,0,0,0
8640,0,0,0
8660,0,84,0
8680,0,93,0
8700,0,97,0
8720,0,97,0
8740,0,99,0
8760,0,99,0
8780,0,100,0
8800,0,100,0
8820,0,96,0
8840,0,100,0
8860,0,96,0
8880,0,99,0
8900,0,98,0
8920,0,92,0
8940,0,95,0
