Position in alignment,LC192511.1 - LC183873.1,LC192511.1 - MN781156.1,LC183873.1 - MN781156.1
3900,81,9,0
3920,73,14,0
3940,72,19,0
3960,98,1,0
3980,95,1,0
4000,94,2,0
4020,57,21,0
4040,15,66,0
4060,44,36,0
4080,64,13,0
4100,52,22,0
4120,71,17,0
4140,64,18,0
4160,39,34,0
4180,29,37,0
4200,34,36,0
4220,29,35,0
4240,61,0,0
4260,69,0,0
4280,95,0,0
4300,90,0,0
4320,96,0,0
4340,96,0,0
4360,94,0,0
4380,97,0,0
4400,97,0,0
4420,99,0,0
4440,91,6,0
4460,74,10,0
4480,27,30,0
4500,35,28,0
4520,65,17,0
4540,59,24,0
4560,78,7,0
4580,94,3,0
4600,98,1,0
4620,84,7,0
4640,99,0,0
4660,99,0,0
4680,100,0,0
4700,99,0,0
4720,98,0,0
4740,100,0,0
4760,95,0,0
4780,91,0,0
4800,83,0,0
4820,53,0,0
4840,71,0,0
4860,66,0,0
4880,70,0,0
4900,68,0,0
4920,71,0,0
4940,62,0,0
4960,61,0,0
4980,65,0,0
5000,33,0,30
5020,62,0,19
5040,65,0,15
5060,69,0,16
5080,62,0,15
5100,58,0,17
5120,65,0,22
5140,65,0,16
5160,67,0,13
5180,61,0,20
5200,87,0,0
5220,64,0,0
5240,91,0,0
5260,98,0,0
5280,93,0,0
5300,97,0,0
5320,95,0,0
5340,87,0,0
5360,91,0,0
5380,85,0,0
5400,80,0,0
5420,90,0,0
5440,85,0,0
5460,60,0,0
5480,68,0,0
5500,89,0,0
5520,83,0,0
5540,83,0,0
5560,98,0,0
5580,98,0,0
5600,100,0,0
5620,100,0,0
5640,100,0,0
5660,99,0,0
5680,100,0,0
5700,99,0,0
5720,100,0,0
5740,99,0,0
5760,99,0,0
5780,99,0,0
5800,96,0,0
5820,87,0,0
5840,85,0,0
5860,68,0,0
5880,70,0,0
5900,64,0,0
5920,0,0,0
5940,62,0,0
5960,64,0,0
5980,67,0,0
6000,88,0,0
6020,97,0,0
6040,94,0,0
6060,98,0,0
6080,100,0,0
6100,100,0,0
6120,100,0,0
6140,100,0,0
6160,100,0,0
6180,100,0,0
6200,100,0,0
6220,100,0,0
6240,100,0,0
6260,100,0,0
6280,90,0,0
6300,98,0,0
6320,94,0,0
6340,99,0,0
6360,100,0,0
6380,98,0,0
6400,99,0,0
6420,98,0,0
6440,100,0,0
6460,96,0,0
6480,98,0,0
6500,95,0,0
6520,96,0,0
6540,0,0,0
6560,65,0,0
6580,64,0,0
6600,67,0,0
6620,91,0,0
6640,99,0,0
6660,93,0,1
6680,97,0,2
6700,94,0,2
6720,98,0,0
6740,97,0,0
6760,95,0,3
6780,95,0,3
6800,90,0,3
6820,92,0,2
6840,93,0,0
6860,99,0,0
6880,99,0,0
6900,97,0,0
6920,93,0,0
6940,100,0,0
6960,97,0,0
6980,100,0,0
7000,99,0,0
7020,99,0,0
7040,98,0,0
7060,100,0,0
7080,100,0,0
7100,99,0,0
7120,97,0,0
7140,95,0,0
7160,100,0,0
7180,100,0,0
7200,100,0,0
7220,100,0,0
7240,87,3,0
7260,88,1,0
7280,87,5,0
7300,90,4,0
7320,85,4,0
7340,82,4,0
7360,61,21,0
7380,32,38,0
7400,38,27,0
7420,43,29,0
7440,0,0,0
7460,0,0,0
7480,0,0,0
7500,0,0,0
7520,57,0,0
7540,63,0,0
7560,64,0,0
7580,66,0,0
7600,63,0,0
7620,87,0,0
7640,94,0,0
7660,90,0,0
7680,88,0,0
7700,88,0,0
7720,65,0,0
7740,70,0,0
7760,91,0,0
7780,92,0,0
7800,94,0,0
7820,92,0,0
7840,90,0,0
7860,99,0,0
7880,100,0,0
7900,100,0,0
7920,100,0,0
7940,100,0,0
7960,100,0,0
7980,100,0,0
8000,100,0,0
8020,100,0,0
8040,99,0,0
8060,95,0,0
8080,26,38,0
8100,0,70,0
8120,0,58,0
8140,37,38,0
8160,39,33,0
8180,33,34,0
8200,26,38,0
8220,29,37,0
8240,36,29,0
8260,31,38,0
8280,86,0,0
8300,91,0,0
8320,93,0,0
8340,92,0,0
8360,95,0,0
8380,94,0,0
8400,97,0,0
8420,91,0,0
8440,100,0,0
8460,99,0,0
8480,100,0,0
8500,100,0,0
8520,99,0,0
8540,100,0,0
8560,98,0,0
8580,98,0,0
8600,98,0,0
8620,99,0,0
8640,94,0,0
8660,96,0,0
8680,98,0,0
8700,57,0,0
8720,57,0,0
8740,88,0,0
8760,93,0,0
8780,98,0,0
8800,56,1,25
8820,67,1,31
8840,58,2,37
8860,52,3,43
8880,77,0,23
8900,62,0,38
8920,68,0,31
8940,67,0,33
